tennet_id;congestiegebied_afname;congestiegebied_opwek;afname;opwek
Station Tiel 150;Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Tilburg Noord 150 kV;Noord-Brabant;Noord-Brabant;3;3
Station Tilburg West 150 kV;Noord-Brabant;Noord-Brabant;3;3
Station Tilburg Zuid 150 kV;Noord-Brabant;Noord-Brabant;3;3
Station Tinte 150;Haven van Rotterdam;Haven van Rotterdam;3;0
Station Treebeek 150 kV;Limburg;Limburg;3;3
Station Tubbergen 110 kV;Overijssel;Hengelo;3;3
Station Uden 150 kV;Noord-Brabant;Noord-Brabant;3;3
Station Ulft 150;Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Utrecht Lage Weide 150;Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Merwedekanaal;Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Vaassen 150;Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Veendam 110 kV;Groningen Oost;Groningen West;1;3
Station Veenendaal 't Goeie Spoor 150;Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Veenendaal Wageningselaan 150;Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Veenoord 110 kV;Drenthe;Drenthe;1;3
Station Velsen 150;Noord-Holland;Noord-Holland Noord;3;3
Station Venray 150 kV;Limburg;Limburg;3;3
Station Venserweg 150;Noord-Holland;Noord-Holland;3;0
Station Vierverlaten 110 kV;Groningen West;Groningen West;3;3
Station Vijfhuizen 150;Noord-Holland;Noord-Holland;3;0
Station Vlissingen 150;Zeeland;Zeeland;3;0
Station Vlissingen Oost 150 kV;Zeeland;Zeeland;3;0
Station Vollenhove 110 kV;Overijssel;Zwolle Hessenweg;3;3
Station Voorburg 150 kV;Noordelijk Zuid-Holland;Noordelijk Zuid-Holland;3;0
Station Vroomshoop 110 kV;Overijssel;Hengelo;3;3
Station Waalwijk 150 kV;Noord-Brabant;Noord-Brabant;3;3
Station Waarderpolder 150;Noord-Holland;Noord-Holland;3;0
Station Watergraafsmeer 150;Noord-Holland;Noord-Holland;3;0
Station Wateringen 150 kV;Noordelijk Zuid-Holland;Noordelijk Zuid-Holland;3;0
Station Weertheide 150 kV;Limburg;Limburg;3;3
Station Weiwerd 220;Groningen 220/20;Groningen 220/20;0;0
Station Westdorpe 150;Zeeland;Zeeland;3;0
Station Westerlee 150 kV;Westland;Westland;0;0
Station Westwoud 150;Noord-Holland;Noord-Holland Noord;3;3
Station Wijdewormer 150;Noord-Holland;Noord-Holland Noord;3;3
Station Wijster Oosterscheveld 110 kV;Drenthe;Drenthe;1;3
Station Willem Anna Polder 150;Zeeland;Zeeland;3;0
Station Winschoten 110 kV;Groningen Oost;Groningen Oost;1;0
Station Winsum Ranum 110 kV;Groningen West;Groningen West;3;3
Station Winterswijk 150;Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Woensdrecht 150 kV;Noord-Brabant;Noord-Brabant;3;3
Station Wolvega 110;Friesland;Friesland;1;3
Station Woudhuis 150;Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Ypenburg 150 kV;Noordelijk Zuid-Holland;Noordelijk Zuid-Holland;3;0
Station Zaltbommel 150;Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Zeewolde 150 (CBL);Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
